Sõna,Sõnaliik,Muuttüüp
abstraheerimine,S,12
abstraheeritud,A,2
abstraheeritu,S,1
abstraheeritus,S,11
abstraheeruma,V,27
abstraktne,A,2
abstraktselt,D,-
abstraktsionism,S,22
abstraktsioon,S,22
abstraktsus,"S,S","11,9"
abstsess,S,22
abstsiss,S,22
absurd,S,22
absurdne,A,2
absurdselt,D,-
abt,S,22
abtiss,S,22
abtkond,S,22
Abu Dhabi,H,16
Abuja,H,16
abukasukas,S,2
acapulco,G,-
Acapulco,H,16
Access,H,22
Accra,H,1
Aconcagua,H,1
Activex,H,22
adaadžo,S,16
Ada,H,16
Adalpärt,H,22
Adams,H,2
Adamson,H,19
Adamson-Eric,H,2
Adamstown,H,22
adaptatsioon,S,22
adapteerima,V,28
adapteeruma,V,27
adapter,S,2
adaptiivne,A,2
adaptsioon,S,22
Adavere,H,16
adavere,G,-
Addis Abeba,H,16
Adeele,H,16
adekvaatne,A,2
adekvaatselt,D,-
adekvaatsus,"S,S","11,9"
Adelaide,H,22
Aden,H,2
Adenauer,H,2
adeniit,S,22
adenoid,S,22
adenoidne,A,2
adenoom,S,22
ader,S,24
adessiiv,S,22
adessiivne,A,2
adhesioon,S,22
aditiiv,S,22
aditiivne,A,2
adjektiiv,S,22
adjektiivne,A,2
adjektivatsioon,S,22
adjektivisatsioon,S,22
adjunkt,S,22
adjutant,S,22
adjöö,I,-
Adler,H,2
administraator,S,2
administratiivaparaat,S,22
administratiivne,A,2
administratsioon,S,22
administreerima,V,28
admiral,S,19
admiraliteet,S,22
Adobe,H,22
Ado,H,16
Adolf,H,2
Adolfas,H,9
adoonis,S,9
adopteerima,V,28
adoptsioon,S,22
adpositsioon,S,22
adrakohtunik,S,25
adramees,S,13
adrekas,S,2
adrenaliin,S,22
adressaat,S,22
adressant,S,22
adresseerija,S,1
adresseerima,V,28
Adretta,H,1
Adrian,H,19
adru,S,16
adsorbeerima,V,28
adstraat,S,22
adžaar,S,22
adžaaria,G,-
Adžaaria,H,1
adžika,S,1
aduma,V,27
adumine,S,12
advent,S,22
adventiivne,A,2
adventism,S,22
adventisti,G,-
adverb,S,22
adverbiaal,S,22
adverbiaalne,A,2
adverbialiseeruma,V,27
adversatiivne,A,2
advokaadibüroo,S,26
advokaadikutse,S,6
advokaat,S,22
advokaatkond,S,22
advokatuur,S,22
adõgee,G,-
Adõgee,H,26
adõgeelane,"S,S","12,10"
adõgeelanna,S,16
adünaamiline,A,12
aed,S,22
aedik,S,2
aedkannike,S,12
aedlinn,S,22
aedne,S,2
aednik,S,25
aeduba,S,18
aedvili,S,24
aedviljalisand,S,2
aeg,S,22
aegajalt,D,-
aeg-ajalt,D,-
aega,K,-
aegamisi,D,-
aegamööda,D,-
aeganõudev,A,2
aeganõudvalt,D,-
aegapidi,D,-
aegaraiskav,A,2
aega saama,V,37
aega teenima,V,28
aegaviitev,A,2
aega viitma,V,34
aegavõttev,A,2
aegkond,S,22
aeglane,"A,A","12,10"
aeglaselt,D,-
aeglasem,C,2
aeglasemaks minema,V,36
aeglasemalt,D,-
aeglema,V,30
aeglus,"S,S","11,9"
aeglustama,V,27
aeglusti,S,1
aeglustuma,V,27
aeglustumine,S,12
aeglustus,S,11
aegluubis,D,-
aegluubistatud,S,2
Aegna,H,1
aegne,A,2
aegsalt,D,-
aegsamalt,D,-
aegsasti,D,-
aegu,K,-
aegumatu,A,1
aegumatus,"S,S","11,9"
aeguma,V,27
aegumine,S,12
aegumus,S,11
aegunud,A,2
aegus,A,2
Aegviidu,H,16
ae,I,-
aeleja,S,1
aelema,V,27
aeraator,S,2
aer,S,22
aeratsioon,S,22
aerodroom,S,22
aerograaf,S,22
aeroliit,S,22
aeronaut,S,22
aeronautika,S,1
aeroob,S,22
aeroobika,S,1
aerooblema,V,30
aeroobne,A,2
aeroon,S,22
aeroplaan,S,22
aerosool,S,22
aerostaat,S,22
aerumees,S,13
aerutaja,S,1
aerutama,V,27
aerutamine,S,12
aetama,V,27
aetav,A,2
aetud,A,2
aevastama,V,27
aevasti,S,1
aevastus,S,11
afaasia,S,1
afaatik,S,2
afekt,S,22
afektatsioon,S,22
afekteerima,V,28
afekteeritud,A,2
afekteeritult,D,-
afekteeritu,S,1
afekteeritus,S,11
afektiivne,A,2
afektsioon,S,22
aferism,S,22
aferist,S,22
afgaan,S,22
Afganistan,H,22
afganistani,G,-
afiinne,A,2
afiks,S,2
afirmatiivne,A,2
afirmatsioon,S,22
afirmeerima,V,28
afišeerima,V,28
afišš,S,22
aforism,S,22
afrikaat,S,22
afrikander,S,2
afrikanistika,S,1
afro-ameerika,G,-
afroameerika,G,-
afrodisiakum,S,2
aftekas,S,2
afäär,S,22
agaa,S,26
agaav,S,22
aga,J,-
agan,S,2
aganaleib,S,22
aganane,A,12
aganik,S,25
agar,A,2
agar,S,2
agaralt,D,-
agaramalt,D,-
agarasti,D,-
agarik,S,25
agarus,S,11
agatama,V,27
Agatha,H,16
Agathe,H,16
agenda,S,16
agenditöö,S,26
agens,S,2
agent,S,22
agentuur,S,22
agiilne,A,2
agitaator,S,2
agitatsioon,S,22
agiteerima,V,28
agitpunkt,S,22
aglomeratsioon,S,22
aglutinatsioon,S,22
aglutineerima,V,28
Agnes,H,9
agnostik,S,2
agnostitsism,S,22
Ago,H,16
agoonia,S,1
agooniline,A,12
agoraa,S,26
agorafoob,S,22
agorafoobia,S,1
agraarlane,"S,S","12,10"
agraarne,A,2
agregaat,S,22
agregaatima,V,28
agregaatne,A,2
agregaator,S,2
agregeerima,V,28
agressiivne,A,2
agressiivselt,D,-
agressiivsem,C,2
agressiivsus,"S,S","11,9"
agressioon,S,22
agressor,S,2
agrometeoroloog,S,22
agrometeoroloogia,S,1
agronoom,S,22
agronoomia,S,1
agronoomiline,A,12
agrotehnika,S,1
agu,S,18
Agu,H,17
agul,S,2
agulimaja,S,17
agulimiljöö,S,26
agulistuma,V,27
Agusalu,H,16
aguuti,S,16
ahaa-elamus,S,11
ahaa,I,-
ahaatama,V,27
ahah,I,-
ahas,A,7
ahastamapanev,A,2
ahastama,V,27
ahastav,A,2
ahastavalt,D,-
ahastus,S,11
ahastusega,D,-
ahastuslik,A,25
ah,D,-
ahe,S,6
ahel,S,2
ahelasse panema,V,36
aheldama,V,27
aheldatud,A,2
aheldatus,"S,S","11,9"
ahelduma,V,27
aheldus,S,11
ahelik,S,25
aheljas,A,2
ahellane,S,12
ahelreaktsioon,S,22
ahelsuitsetama,V,27
ahend,S,2
ahendama,V,27
ahendamine,S,12
ahendus,S,11
ahenema,V,27
ahenemine,S,12
ahenev,A,2
aher,A,3
aheraine,S,6
aherkivim,S,2
Aheru,H,1
ahervare,S,4
ahetama,V,27
ahhaa,I,-
ahhaat,S,22
ahhetama,V,27
ahh,I,-
ahi,S,24
ahikotus,S,9
ahinal,D,-
ahing,S,2
ahistamata,A,-
ahistama,V,27
ahistamine,S,12
ahistav,A,2
ahistus,S,11
ahjaa,I,-
Ahja,H,16
ahjuase,S,4
ahjuhark,S,22
ahjukütus,S,9
ahjulind,S,22
ahjupink,S,22
ahjupuu,S,26
ahjusuu,S,26
ahjuvorm,S,22
ahkima,V,28
Ahmadabad,H,22
ahm,S,22
ahmama,V,29
ahmima,V,28
ahmitsema,V,27
ahne,A,6
ahnekott,S,22
ahnelt,D,-
ahne olema,V,36
ahnepäits,S,2
ahnesti,D,-
ahnitseja,S,1
ahnitsema,V,27
ahnitsus,S,11
ahnur,S,2
ahnus,"S,S","11,9"
Aho,H,16
ahoi,I,-
ahtake,A,12
ahtalt,D,-
ahtameelne,A,2
ahter,S,2
Ahti,H,16
Ahtme,H,16
Ahto,H,16
ahtruma,V,27
ahtrus,"S,S","11,9"
ahtus,"S,S","11,9"
ahv,S,22
ahvatis,S,11
ahvatleja,S,1
ahvatlema,V,27
ahvatlev,A,2
ahvatlevalt,D,-
ahvatlus,S,11
ahvatus,S,11
ahven,S,2
ahvenamaa,G,-
Ahvenamaa,H,26
ahvike,S,12
ahvima,V,28
ahvimine,S,12
ahvinahk,S,22
ahv-inimene,S,12
ahvipärdik,S,2
ahvlane,"S,S","12,10"
aialipp,S,22
aiamaa,S,26
aiamaja,S,17
aiand,S,2
aiandus,S,11
aianduskooperatiiv,S,22
aiandusteadus,"S,S","11,9"
aiandusühistu,S,1
aiapidaja,S,1
aiapoolne,A,2
aiapost,S,22
aiasaadus,"S,S","11,9"
aiatagune,A,10
aiateivas,S,7
aiatraktor,S,2
aiatöö,S,26
aiavärav,S,2
aiaäärne,A,2
aidaa,I,-
aidamade,S,4
aidanurk,S,22
aids,S,22
aidsiviirus,"S,S","11,9"
aietama,V,27
aietus,S,11
aih,I,-
ai,I,-
Aili,H,16
aim,S,22
aimakk,S,22
aimama,V,29
aimamatu,A,1
aimamine,S,12
aimamisi,D,-
aimatav,A,2
aimates,D,-
aimav,A,2
aimduma,V,27
aimdus,"S,S","11,9"
aime,S,6
Aime,H,16
aimeldes,D,-
aimeline,A,12
aimetus,S,11
aimlema,V,30
aimlemisi,D,-
aimlus,"S,S","11,9"
aimuma,V,27
aimus,"S,S","11,9"
aina,D,-
Ain,H,22
Ainar,H,2
aine,S,6
aineline,A,12
aineosake,S,12
aines,S,9
ainestama,V,27
ainestik,S,25
ainestuma,V,27
ainetekogu,S,17
ainetu,A,1
ainevahetus,S,11
aineõpetaja,S,1
ainiti,D,-
ainitine,A,12
Aino,H,16
ainsam,S,2
ainsus,"S,S","11,9"
ainsuslik,A,25
aint,I,-
ainuabielu,S,17
ainuabieluline,A,12
ainuaktsionär,S,19
ainuisikuline,A,12
ainuisikuliselt,D,-
ainuisikulisus,S,11
ainuke,A,12
ainukene,A,12
ainukordne,A,2
ainulaadne,A,2
ainulaadselt,D,-
ainulaadsus,"S,S","11,9"
ainuline,A,12
ainuliselt,D,-
ainult,D,-
ainumalt,D,-
ainumane,A,10
ainumas,A,2
ainuomane,A,10
ainurakne,A,2
ainu,S,16
ainus,"S,S","3,5"
ainusus,S,11
ainuvalitseja,S,1
ainuvalitsema,V,27
ainuvalitsus,S,11
ainuvõimalik,A,25
ainuõige,A,1
ainuõigesti,D,-
ainuõigus,"S,S","11,9"
ainuõõsne,S,2
ainuüksi,D,-
ainuüksnes,D,-
airaan,S,22
Air,H,22
Aires,H,9
Airi,H,16
ais,"S,S","23,22"
aist,S,22
aistiline,A,12
aistima,V,28
aisting,S,2
aistinguline,A,12
aistlik,A,25
aistlikkus,S,11
aitab,D,-
Aita,H,16
ait,S,22
aitaja,S,1
aitama,V,29
aitamine,S,12
aitav,A,2
aituma,I,-
aitähh,I,-
aitähhitama,V,27
aitäh,I,-
aitäh ütlema,V,30
aitüma,I,-
aiva,D,-
Aivar,H,2
Aivi,H,16
Aivo,H,16
ajaarvamine,S,12
ajahetk,S,22
ajaja,S,1
ajajärk,S,22
ajakava,S,17
ajakavastamine,S,12
ajakiri,S,24
ajakirjandus,S,11
ajakirjanduslik,A,25
ajakirjandusmaja,S,17
ajakirjandusväljaanne,S,6
ajakirjanik,S,25
ajakirjanikutöö,S,26
ajakohane,A,10
ajakohaseks tegema,V,28
ajakohaselt,D,-
ajakohastama,V,27
ajakohastuma,V,27
ajakohasus,S,11
ajakulu,S,17
ajaldasa,D,-
ajaldi,D,-
ajaldine,A,12
ajaleheartikkel,S,2
ajalehefoto,S,16
ajalehekiosk,S,2
ajalehepaber,S,2
ajaleheveerg,S,22
ajaleheväljalõige,S,6
ajaleht,S,22
ajalik,A,25
ajaline,A,12
ajaliselt,D,-
ajal,K,-
ajalooarhiiv,S,22
ajaloohuviline,S,12
ajalookirjutaja,S,1
ajalookirjutus,S,11
ajalookontseptsioon,S,22
ajalookonverents,S,22
ajalookäsitlus,S,11
ajaloolane,"S,S","12,10"
ajaloolektor,S,2
ajalooline,"A,A","12,10"
ajalooliselt,D,-
ajaloolisem,C,2
ajaloomälestis,S,11
ajalooprofessor,S,2
ajalooteadmine,"S,S","12,10"
ajalooteadus,"S,S","11,9"
ajalooteadvus,"S,S","11,9"
ajalootu,A,1
ajaloouurija,S,1
ajaloo-õigus,"S,S","11,9"
ajalooõpetaja,S,1
ajalt,D,-
ajalugu,S,18
ajalõik,S,22
ajama,V,27
ajam,S,2
ajamine,S,12
ajamärk,S,22
ajanappus,"S,S","11,9"
ajane,A,10
ajanäitaja,S,1
ajapalk,S,22
ajapiirang,S,2
ajapikendus,S,11
ajapikku,D,-
ajaplaan,S,22
ajapuudus,"S,S","11,9"
ajaraamat,S,2
ajaratas,S,7
ajastama,V,27
ajast-arust,A,-
ajastik,S,25
ajastu,S,1
ajataju,S,17
ajatama,V,27
ajateenija,S,1
ajateenistus,S,11
ajati,D,-
ajatimakse,S,6
ajatolla,S,16
ajatu,A,1
ajatus,S,11
ajavahemik,S,25
ajav,A,2
ajaviide,S,6
ajaviiteline,A,12
ajaviitemuusika,S,1
ajaviitlik,A,25
ajavorm,S,22
aje,S,16
ajekas,A,2
ajel,K,-
ajend,S,2
ajendama,V,27
ajendus,S,11
aju,S,17
ajujaht,S,22
ajujas,A,2
ajukelme,S,6
ajukelmepõletik,S,25
ajukestapõletik,S,25
ajuma,V,27
ajupõletik,S,25
ajupõrutus,S,11
ajurabandus,S,11
ajur,S,2
ajurakk,S,22
ajurünnak,S,2
ajusid pingutama,V,27
ajutegevus,S,11
ajuti,D,-
ajutine,A,12
ajutiselt,D,-
ajutreening,S,2
ajutrust,S,22
ajuvaba,A,17
akaatsia,S,1
akadeemia,S,1
akadeemik,S,2
akadeemiline,A,12
akademism,S,22
akademist,S,22
akadi,G,-
akakapsas,S,7
akantus,"S,S","11,9"
aken,S,8
aklamatsioon,S,22
aklimatisatsioon,S,22
aklimatiseerima,V,28
aklimatiseeruma,V,27
aklimatiseerumine,S,12
aknaalune,A,10
aknaauk,S,22
aknaava,S,17
aknaklaas,S,22
aknalaud,S,22
aknaluuk,S,22
aknapesija,S,1
aknaraam,S,22
aknaruut,S,22
aknastik,S,25
aknasulus,S,9
akne,S,1
akommodatsioon,S,22
akommodeerima,V,28
akommodeeruma,V,27
akompaneerima,V,28
akompanement,S,22
akord,S,22
akordion,"S,S","19,2"
akordionimängija,S,1
akordionism,S,22
akordionist,S,22
akrediteerima,V,28
akrediteering,S,2
akreditiiv,S,22
akrobaat,S,22
akrobaatika,S,1
akrobaatiline,A,12
akromaatiline,A,12
akromatism,S,22
akronüüm,S,22
akropol,S,19
akrülaat,S,22
akrüül,S,22
aksakall,S,22
Aksel,H,2
akselbant,S,22
aksessuaar,S,22
aksiaalne,A,2
Aksi,H,16
aksioloog,S,22
aksioloogia,S,1
aksioloogiline,A,12
aksiomaatika,S,1
aksiomaatiline,A,12
aksioom,S,22
aksonomeetriline,A,12
akt,S,22
aktiin,S,22
aktiiv,S,22
aktiivne,A,2
aktiivselt,D,-
aktiivsem,C,2
aktiivsemalt,D,-
aktiivsus,"S,S","11,9"
aktiivsusetu,A,1
aktiivsusetus,S,11
aktiniidia,S,1
aktivaator,S,2
aktiva,S,1
aktivatsioon,S,22
aktiveerima,V,28
aktiveeruma,V,27
aktivisatsioon,S,22
aktiviseerima,V,28
aktiviseeruma,V,27
aktivism,S,22
aktivist,S,22
aktiviteet,S,22
aktriss,S,22
aktseleraator,S,2
aktselerant,S,22
aktseleratsioon,S,22
aktsendimärk,S,22
aktsent,S,22
aktsenteerima,V,28
aktsentuatsioon,S,22
aktsentueerima,V,28
aktsept,S,22
aktseptant,S,22
aktsepteerija,S,1
aktsepteerima,V,28
aktsepteerimine,S,12
aktseptima,V,28
aktseptor,S,2
aktsessoorne,A,2
aktsiaemissioon,S,22
aktsiahind,S,22
aktsiakapital,S,19
aktsiamüük,S,22
aktsiaoptsioon,S,22
aktsiapakk,S,22
aktsia,S,1
aktsiaselts,S,22
aktsiaturg,S,22
aktsidents,S,22
aktsiis,S,22
aktsiisimaks,S,22
aktsiisimäär,S,22
aktsiisipoliitika,S,1
aktsiisistama,V,27
aktsiisitõus,S,22
aktsiisivaba,A,17
aktsionär,S,19
aktsioon,S,22
aktuaalne,A,2
aktuaalsus,"S,S","11,9"
aktuaar,S,22
aktualiseerima,V,28
aktualiseeruma,V,27
aktus,"S,S","11,9"
akumulaator,S,2
akumulatiivne,A,2
akumulatsioon,S,22
akumuleerima,V,28
akumuleeruma,V,27
akuraat,D,-
akuraatne,A,2
akuraatselt,D,-
aku,S,16
akusatiiv,S,22
akusatiivne,A,2
akustik,S,2
akustika,S,1
akustiline,A,12
akušöör,S,22
akuut,S,22
akuutne,A,2
akuutselt,D,-
akuutsus,"S,S","11,9"
akvaarium,"S,S","19,2"
akvakultuur,S,22
akvalang,S,22
akvalangist,S,22
akvamariin,S,22
akvarell,S,22
akvarellima,V,28
akvarellist,S,22
akvarellmaal,S,22
akvarellvärv,S,22
akvarism,S,22
akvatinta,S,16
akvatoorium,"S,S","19,2"
akvaviit,S,22
akvedukt,S,22
akvisitsioon,S,22
akõnn,S,22
alaalia,S,1
ala,S,17
alaan,S,22
alaarenenud,A,2
alaarenenu,S,1
alaareng,S,2
Alabama,H,16
alabaster,S,2
á la carte,D,-
alaealine,"A,A","12,10"
alaealisus,S,11
alagrupiturniir,S,22
alagrupp,S,22
alahindama,V,29
alailma,D,-
alajaam,S,22
alajahtuma,V,27
alajaotus,"S,S","11,9"
Alajõe,H,26
alakeha,S,17
alakõht,S,22
alal,D,-
alaldama,V,27
alaldi,S,1
alaldus,S,11
alale,D,-
alaleütlev,S,2
alalhoid,S,22
alalhoidlane,S,12
alalhoidlik,A,25
alalhoidlikkus,"S,S","11,9"
alalhoidlikum,C,2
alalhoidlus,S,11
alal hoidma,V,34
alalhoidmine,S,12
alal hoiduma,V,27
alaliik,S,22
alaliit,S,22
alaline,A,12
alaliselt,D,-
alalisvool,S,22
alalt,D,-
alaltütlev,S,2
alalõpmata,D,-
alalõpmatu,A,1
alalõpmatult,D,-
alalõug,S,22
alalütlev,S,2
alamaadel,S,2
alam,S,2
alamal,D,-
alamale,D,-
alamalseisev,A,2
alamik,S,25
alamkiht,S,22
alamkoda,S,18
alamlus,S,11
alammäär,S,22
alammääraline,A,12
alampolkovnik,S,2
alamrahvas,S,7
alamsaksa,G,-
alamus,S,11
alandama,V,27
alandamine,S,12
alandatuna,D,-
alandav,A,2
alandlik,A,25
alandlikkus,"S,S","11,9"
alandlikult,D,-
alanduma,V,27
alandus,S,11
alane,A,10
alanema,V,27
alanemine,S,12
alang,S,2
alanurk,S,22
alapealkirjastama,V,27
alarahastama,V,27
alarahvastama,V,27
Alar,H,2
alarm,S,22
alarmeerima,V,28
alarmeeriv,A,2
alarmima,V,28
alasi,S,1
alaska,G,-
Alaska,H,16
alaspidi,D,-
alaspidine,A,10
alaspäi,D,-
alastama,V,27
alasti,D,-
alastikultuur,S,22
alastiolek,S,2
alastipilt,S,22
alastirand,S,22
alasti võtma,V,35
alastus,S,11
alatasa,D,-
alatasane,A,10
alatasustama,V,27
alateadlik,A,25
alateadlikkus,"S,S","11,9"
alateadlikult,D,-
alateadvus,"S,S","11,9"
alateadvuslik,A,25
alates,K,-
alati,D,-
alatihti,D,-
alatine,A,12
alatiseks,D,-
alatiselt,D,-
alatoidetud,A,2
alatoitlus,"S,S","11,9"
alatoituma,V,27
alatoon,S,22
alatsi,D,-
Alatskivi,H,17
alatu,A,1
alatult,D,-
alatus,S,11
alatusi tegema,V,28
alatähtsustama,V,27
alavalgustama,V,27
alaviit,S,22
alavääristama,V,27
alaväärne,A,2
alaväärseks pidama,V,28
alaväärsus,"S,S","11,9"
alaväärsuskompleks,S,22
alaväärtuslik,A,25
albaania,G,-
Albaania,H,1
albaanlane,"S,S","12,10"
albaanlanna,S,16
albatross,S,22
Alberta,H,16
Albert,H,2
albiino,S,16
albikas,A,2
albilane,S,12
albilt,D,-
albinism,S,22
Albu,H,16
album,S,2
albumiin,S,22
aldehüüd,S,22
aldiin,S,22
aldis,A,7
aldistama,V,27
aldistuma,V,27
Aldo,H,16
ale,S,16
alef,S,2
Aleks,H,2
Aleksander,H,2
Aleksandra,H,1
Aleksandr,H,2
Aleksandria,H,1
aleksandriin,S,22
aleksandriit,S,22
Aleksandrova,H,1
Aleksandrov,H,2
Aleksei,H,26
Aleksejeva,H,1
Aleksejev,H,2
alemann,S,22
aletama,V,27
alet põletama,V,27
alet tegema,V,28
Aleuudid,H,22
aleuudi,G,-
aleuut,S,22
alev,S,2
alevik,S,25
alevimaja,S,17
alevivanem,S,2
Alevtina,H,1
Alex,H,2
Alexander,H,2
Alexandra,H,1
Alexela,H,16
alfabeet,S,22
alfabeetiline,A,12
alfa,S,16
alfons,S,2
Alfred,H,2
algaasta,S,1
algaine,S,6
algajalikkus,S,11
algaja,S,1
alg,S,22
algallikas,S,2
algama,V,29
algaste,S,5
algataja,S,1
algatama,V,27
algatamine,S,12
algatus,S,11
algatusel,D,-
algatusvõime,S,6
algav,A,2
algdokument,S,22
alge,S,6
alge,S,5
algebraist,S,22
algebra,S,1
algelanik,S,25
algeline,A,12
algeliselt,D,-
algelisus,S,11
algharidus,S,11
alghind,S,22
Algirdas,H,9
algjärk,S,22
algklass,S,22
algklassiõpetaja,S,1
algkool,S,22
algkuju,S,17
algkäsikiri,S,24
alglaadima,V,28
alglause,S,6
algmets,S,22
algmine,"S,S","12,10"
algmõõt,S,22
algne,A,2
algoloogiline,A,12
algonkin,S,2
Al Gore,H,22
algorganisatsioon,S,22
algoritm,S,22
algoritmima,V,28
algperiood,S,22
algpunkt,S,22
algselt,D,-
algstaadium,"S,S","19,2"
algteadmine,"S,S","12,10"
algtrükis,S,9
algtõde,S,18
algtüüp,S,22
algul,D,-
algul,K,-
algult,K,-
algupool,S,13
algupära,S,17
algupärand,S,2
algupärane,A,10
algupärasem,C,2
algusaeg,S,22
algus,"S,S","11,9"
alguses,D,-
algusjärk,S,22
alguskümme,N,5
alguspäev,S,22
algust tegema,V,28
algustäht,S,22
algvariant,S,22
algviisik,S,2
algväärtustama,V,27
algõpetus,S,11
algõpik,S,2
alibi,S,1
Alice,H,2
Alide,H,16
Al-Imārāt,H,22
aliment,S,22
Alina,H,16
alisariin,S,22
alistaja,S,1
